Index,RegardIndex,ManholeIndex,Distance_m
1,1,1,3063.5
2,4,4,3243.5
3,8,8,3483.5
4,11,11,3663.5
5,15,15,3903.5
6,18,18,4083.5
7,22,22,4323.5
8,25,25,4503.5
9,28,28,4683.5
10,32,32,4923.5
11,35,35,5103.5
12,39,39,5343.5
13,42,42,5523.5
14,46,46,5763.5
15,49,49,5943.5
